Product_ID,total_gaps,total_days,2024-02-29,2024-12-31
1000,363,366,True,True
1001,363,366,True,True
1003,365,366,True,True
1005,365,366,True,True
1006,365,366,True,True
1007,365,366,True,True
1008,361,366,True,True
1009,363,366,True,True
1010,365,366,True,True
1013,364,366,True,True
1014,364,366,True,True
1017,364,366,True,True
1019,364,366,True,True
1020,364,366,True,True
1021,364,366,True,True
1023,365,366,True,True
1024,365,366,True,True
1027,365,366,True,True
1028,365,366,True,True
1030,364,366,True,True
1032,365,366,True,True
1033,365,366,True,True
1034,365,366,True,True
1035,362,366,True,True
1040,365,366,True,True
1041,365,366,True,True
1042,365,366,True,True
1043,365,366,True,True
1045,365,366,True,True
1049,363,366,True,True
1051,365,366,True,True
1052,365,366,True,True
1053,364,366,True,True
1055,364,366,True,True
1056,363,366,True,True
1057,365,366,True,True
1059,364,366,True,True
1060,365,366,True,True
1062,364,366,True,True
1063,364,366,True,True
1067,364,366,True,True
1072,365,366,True,True
1073,364,366,True,True
1075,364,366,True,True
1076,362,366,True,True
1077,365,366,True,True
1078,364,366,True,True
1080,364,366,True,True
1081,365,366,True,True
1082,364,366,True,True
1083,365,366,True,True
1084,364,366,True,True
1085,365,366,True,True
1086,365,366,True,True
1087,363,366,True,True
1089,364,366,True,True
1090,361,366,True,True
1091,365,366,True,True
1092,363,366,True,True
1095,364,366,True,True
1096,362,366,True,True
1097,365,366,True,True
1098,365,366,True,True
1099,362,366,True,True
1100,364,366,True,True
1101,364,366,True,True
1103,365,366,True,True
1105,364,366,True,True
1107,365,366,True,True
1109,365,366,True,True
1112,363,366,True,True
1113,365,366,True,True
1116,362,366,True,True
1117,364,366,True,True
1122,365,366,True,True
1124,365,366,True,True
1125,365,366,True,True
1127,365,366,True,True
1129,364,366,True,True
1131,362,366,True,True
1132,364,366,True,True
1133,365,366,True,True
1136,364,366,True,True
1137,365,366,True,True
1138,363,366,True,True
1140,365,366,True,True
1141,365,366,True,True
1142,365,366,True,True
1144,364,366,True,True
1147,365,366,True,True
1148,365,366,True,True
1149,365,366,True,True
1150,364,366,True,True
1152,364,366,True,True
1154,365,366,True,True
1155,363,366,True,True
1156,365,366,True,True
1157,365,366,True,True
1158,365,366,True,True
1159,365,366,True,True
1161,365,366,True,True
1162,365,366,True,True
1163,364,366,True,True
1165,365,366,True,True
1169,365,366,True,True
1170,364,366,True,True
1171,365,366,True,True
1174,364,366,True,True
1175,365,366,True,True
1176,364,366,True,True
1177,364,366,True,True
1178,365,366,True,True
1180,365,366,True,True
1181,364,366,True,True
1182,365,366,True,True
1183,365,366,True,True
1184,364,366,True,True
1185,364,366,True,True
1186,365,366,True,True
1187,365,366,True,True
1188,364,366,True,True
1191,364,366,True,True
1193,365,366,True,True
1194,365,366,True,True
1197,363,366,True,True
1199,362,366,True,True
1200,365,366,True,True
1201,363,366,True,True
1204,364,366,True,True
1205,365,366,True,True
1206,364,366,True,True
1207,364,366,True,True
1208,365,366,True,True
1209,365,366,True,True
1210,363,366,True,True
1211,365,366,True,True
1212,365,366,True,True
1213,365,366,True,True
1215,363,366,True,True
1216,365,366,True,True
1219,365,366,True,True
1221,364,366,True,True
1222,365,366,True,True
1223,365,366,True,True
1225,363,366,True,True
1226,365,366,True,True
1228,365,366,True,True
1229,364,366,True,True
1230,365,366,True,True
1231,365,366,True,True
1232,363,366,True,True
1233,363,366,True,True
1234,364,366,True,True
1235,363,366,True,True
1237,364,366,True,True
1238,364,366,True,True
1240,364,366,True,True
1243,364,366,True,True
1244,365,366,True,True
1245,363,366,True,True
1248,362,366,True,True
1249,365,366,True,True
1250,364,366,True,True
1251,364,366,True,True
1252,363,366,True,True
1253,361,366,True,True
1254,365,366,True,True
1256,364,366,True,True
1258,365,366,True,True
1262,364,366,True,True
1264,365,366,True,True
1265,365,366,True,True
1266,365,366,True,True
1268,364,366,True,True
1270,365,366,True,True
1272,365,366,True,True
1274,362,366,True,True
1276,365,366,True,True
1277,365,366,True,True
1279,365,366,True,True
1280,365,366,True,True
1281,365,366,True,True
1282,361,366,True,True
1286,365,366,True,True
1289,363,366,True,True
1291,364,366,True,True
1292,365,366,True,True
1293,365,366,True,True
1296,364,366,True,True
1297,365,366,True,True
1298,365,366,True,True
1299,365,366,True,True
1300,364,366,True,True
1301,364,366,True,True
1302,363,366,True,True
1303,365,366,True,True
1304,365,366,True,True
1305,363,366,True,True
1306,363,366,True,True
1307,363,366,True,True
1309,365,366,True,True
1310,365,366,True,True
1311,363,366,True,True
1312,365,366,True,True
1313,364,366,True,True
1316,365,366,True,True
1317,365,366,True,True
1320,363,366,True,True
1321,363,366,True,True
1323,365,366,True,True
1324,363,366,True,True
1325,365,366,True,True
1326,364,366,True,True
1327,365,366,True,True
1328,364,366,True,True
1329,365,366,True,True
1333,365,366,True,True
1334,365,366,True,True
1337,365,366,True,True
1338,365,366,True,True
1339,365,366,True,True
1340,364,366,True,True
1342,365,366,True,True
1343,365,366,True,True
1345,365,366,True,True
1347,365,366,True,True
1349,365,366,True,True
1350,365,366,True,True
1351,365,366,True,True
1352,365,366,True,True
1353,364,366,True,True
1355,362,366,True,True
1356,365,366,True,True
1357,365,366,True,True
1358,364,366,True,True
1359,365,366,True,True
1360,365,366,True,True
1361,364,366,True,True
1362,365,366,True,True
1363,365,366,True,True
1364,364,366,True,True
1368,363,366,True,True
1369,365,366,True,True
1371,365,366,True,True
1372,365,366,True,True
1373,365,366,True,True
1375,365,366,True,True
1377,364,366,True,True
1378,365,366,True,True
1379,365,366,True,True
1380,365,366,True,True
1381,365,366,True,True
1382,364,366,True,True
1383,365,366,True,True
1385,365,366,True,True
1386,365,366,True,True
1389,365,366,True,True
1390,364,366,True,True
1392,365,366,True,True
1395,365,366,True,True
1400,365,366,True,True
1401,365,366,True,True
1403,364,366,True,True
1404,364,366,True,True
1408,364,366,True,True
1410,364,366,True,True
1411,364,366,True,True
1412,364,366,True,True
1413,362,366,True,True
1416,364,366,True,True
1418,365,366,True,True
1419,364,366,True,True
1420,365,366,True,True
1421,365,366,True,True
1422,365,366,True,True
1427,365,366,True,True
1428,365,366,True,True
1429,365,366,True,True
1434,365,366,True,True
1436,365,366,True,True
1437,363,366,True,True
1438,365,366,True,True
1439,365,366,True,True
1440,365,366,True,True
1444,365,366,True,True
1445,363,366,True,True
1446,363,366,True,True
1447,364,366,True,True
1448,365,366,True,True
1449,364,366,True,True
1451,365,366,True,True
1452,365,366,True,True
1453,362,366,True,True
1455,365,366,True,True
1456,364,366,True,True
1457,363,366,True,True
1459,364,366,True,True
1460,365,366,True,True
1461,364,366,True,True
1462,365,366,True,True
