date,Product_ID,qty
2025-09-04,1063,3
2025-09-04,5602,5
2025-09-04,1258,3
2025-09-04,4110,2
2025-09-04,1007,4
2025-09-19,8742,3
2025-09-19,8740,4
2025-09-19,1007,3
2025-09-19,8754,4
2025-09-19,1053,5
2025-09-12,1305,5
2025-09-12,4298,1
2025-09-12,8749,5
2025-09-12,8676,2
2025-09-12,1000,4
2025-09-08,3427,2
2025-09-08,4173,3
2025-09-08,3372,2
2025-09-08,8074,1
2025-09-08,1067,5
2025-09-13,8050,1
2025-09-13,1007,5
2025-09-13,1053,3
2025-09-13,1043,4
2025-09-13,1839,1
2025-09-19,5134,1
2025-09-19,3366,5
2025-09-19,8652,2
2025-09-19,1321,1
2025-09-19,5278,4
2025-09-05,5183,1
2025-09-05,1958,4
2025-09-05,2082,2
2025-09-05,9530,5
2025-09-05,4613,3
2025-08-31,8753,5
2025-08-31,8063,2
2025-08-31,8653,1
2025-08-31,2684,5
2025-08-31,3361,2
2025-09-03,2658,1
2025-09-03,9992,4
2025-09-03,1084,5
2025-09-03,8766,4
2025-09-03,2732,5
2025-09-04,3356,4
2025-09-04,3365,5
2025-09-04,2653,4
2025-09-04,3366,5
2025-09-04,1007,1
2025-08-30,1030,1
2025-08-30,5274,2
2025-08-30,4617,3
2025-08-30,1007,3
2025-08-30,1803,3
