timestamp,severidad,mensaje,item_id,supplier_id
2025-09-19 15:42:02.639491,CRIT,Rotura detectada tras pedido (item 4347),4347,
2025-09-19 15:42:02.689599,CRIT,Sin sustitutos disponibles para item 8192,8192,
2025-09-19 15:42:02.689626,CRIT,Sin sustitutos disponibles para item 8194,8194,
2025-09-19 15:42:02.689631,CRIT,Sin sustitutos disponibles para item 8197,8197,
2025-09-19 15:42:02.689632,CRIT,Sin sustitutos disponibles para item 8198,8198,
2025-09-19 15:42:02.689633,CRIT,Sin sustitutos disponibles para item 8199,8199,
2025-09-19 15:42:02.689633,CRIT,Sin sustitutos disponibles para item 8200,8200,
2025-09-19 15:42:02.689634,CRIT,Sin sustitutos disponibles para item 8202,8202,
2025-09-19 15:42:02.689635,CRIT,Sin sustitutos disponibles para item 8205,8205,
2025-09-19 15:42:02.689637,CRIT,Sin sustitutos disponibles para item 8213,8213,
2025-09-19 15:42:02.689638,CRIT,Sin sustitutos disponibles para item 8214,8214,
2025-09-19 15:42:02.689639,CRIT,Sin sustitutos disponibles para item 8215,8215,
2025-09-19 15:42:02.689640,CRIT,Sin sustitutos disponibles para item 8216,8216,
2025-09-19 15:42:02.689641,CRIT,Sin sustitutos disponibles para item 8218,8218,
2025-09-19 15:42:02.689642,CRIT,Sin sustitutos disponibles para item 8219,8219,
2025-09-19 15:42:02.689643,CRIT,Sin sustitutos disponibles para item 8222,8222,
2025-09-19 15:42:02.689644,CRIT,Sin sustitutos disponibles para item 8224,8224,
2025-09-19 15:42:02.689645,CRIT,Sin sustitutos disponibles para item 8225,8225,
2025-09-19 15:42:02.689646,CRIT,Sin sustitutos disponibles para item 8228,8228,
2025-09-19 15:42:02.689646,CRIT,Sin sustitutos disponibles para item 8229,8229,
2025-09-19 15:42:02.689647,CRIT,Sin sustitutos disponibles para item 8232,8232,
2025-09-19 15:42:02.689648,CRIT,Sin sustitutos disponibles para item 8233,8233,
2025-09-19 15:42:02.689649,CRIT,Sin sustitutos disponibles para item 8235,8235,
2025-09-19 15:42:02.689650,CRIT,Sin sustitutos disponibles para item 8236,8236,
2025-09-19 15:42:02.689651,CRIT,Sin sustitutos disponibles para item 8237,8237,
2025-09-19 15:42:02.689653,CRIT,Sin sustitutos disponibles para item 8238,8238,
2025-09-19 15:42:02.689654,CRIT,Sin sustitutos disponibles para item 8240,8240,
2025-09-19 15:42:02.689656,CRIT,Sin sustitutos disponibles para item 8245,8245,
2025-09-19 15:42:02.689657,CRIT,Sin sustitutos disponibles para item 8246,8246,
2025-09-19 15:42:02.689658,CRIT,Sin sustitutos disponibles para item 8248,8248,
2025-09-19 15:42:02.689660,CRIT,Sin sustitutos disponibles para item 8251,8251,
2025-09-19 15:42:02.689661,CRIT,Sin sustitutos disponibles para item 8263,8263,
2025-09-19 15:42:02.689662,CRIT,Sin sustitutos disponibles para item 8264,8264,
2025-09-19 15:42:02.689663,CRIT,Sin sustitutos disponibles para item 8269,8269,
2025-09-19 15:42:02.689664,CRIT,Sin sustitutos disponibles para item 8270,8270,
2025-09-19 15:42:02.689665,CRIT,Sin sustitutos disponibles para item 8272,8272,
2025-09-19 15:42:02.689666,CRIT,Sin sustitutos disponibles para item 8275,8275,
2025-09-19 15:42:02.689667,CRIT,Sin sustitutos disponibles para item 8276,8276,
2025-09-19 15:42:02.689668,CRIT,Sin sustitutos disponibles para item 8278,8278,
2025-09-19 15:42:02.689668,CRIT,Sin sustitutos disponibles para item 8280,8280,
2025-09-19 15:42:02.689669,CRIT,Sin sustitutos disponibles para item 8281,8281,
2025-09-19 15:42:02.689670,CRIT,Sin sustitutos disponibles para item 8286,8286,
2025-09-19 15:42:02.689671,CRIT,Sin sustitutos disponibles para item 8287,8287,
2025-09-19 15:42:02.689672,CRIT,Sin sustitutos disponibles para item 8295,8295,
2025-09-19 15:42:02.689673,CRIT,Sin sustitutos disponibles para item 8297,8297,
2025-09-19 15:42:02.689673,CRIT,Sin sustitutos disponibles para item 8300,8300,
2025-09-19 15:42:02.689675,CRIT,Sin sustitutos disponibles para item 8303,8303,
2025-09-19 15:42:02.689676,CRIT,Sin sustitutos disponibles para item 8305,8305,
2025-09-19 15:42:02.689677,CRIT,Sin sustitutos disponibles para item 8307,8307,
2025-09-19 15:42:02.689678,CRIT,Sin sustitutos disponibles para item 8323,8323,
2025-09-19 15:42:02.689678,CRIT,Sin sustitutos disponibles para item 8326,8326,
2025-09-19 15:42:02.689679,CRIT,Sin sustitutos disponibles para item 8334,8334,
2025-09-19 15:42:02.689680,CRIT,Sin sustitutos disponibles para item 8341,8341,
2025-09-19 15:42:02.689681,CRIT,Sin sustitutos disponibles para item 8342,8342,
2025-09-19 15:42:02.689682,CRIT,Sin sustitutos disponibles para item 8347,8347,
2025-09-19 15:42:02.689682,CRIT,Sin sustitutos disponibles para item 8348,8348,
2025-09-19 15:42:02.689683,CRIT,Sin sustitutos disponibles para item 8349,8349,
2025-09-19 15:42:02.689683,CRIT,Sin sustitutos disponibles para item 8352,8352,
2025-09-19 15:42:02.689685,CRIT,Sin sustitutos disponibles para item 8361,8361,
2025-09-19 15:42:02.689685,CRIT,Sin sustitutos disponibles para item 8363,8363,
2025-09-19 15:42:02.689686,CRIT,Sin sustitutos disponibles para item 8364,8364,
2025-09-19 15:42:02.689687,CRIT,Sin sustitutos disponibles para item 8366,8366,
2025-09-19 15:42:02.689687,CRIT,Sin sustitutos disponibles para item 8370,8370,
2025-09-19 15:42:02.689688,CRIT,Sin sustitutos disponibles para item 8371,8371,
2025-09-19 15:42:02.689690,CRIT,Sin sustitutos disponibles para item 8379,8379,
2025-09-19 15:42:02.689693,CRIT,Sin sustitutos disponibles para item 8382,8382,
2025-09-19 15:42:02.689694,CRIT,Sin sustitutos disponibles para item 8391,8391,
2025-09-19 15:42:02.689695,CRIT,Sin sustitutos disponibles para item 8393,8393,
2025-09-19 15:42:02.689696,CRIT,Sin sustitutos disponibles para item 8394,8394,
2025-09-19 15:42:02.689697,CRIT,Sin sustitutos disponibles para item 8402,8402,
2025-09-19 15:42:02.689698,CRIT,Sin sustitutos disponibles para item 8404,8404,
2025-09-19 15:42:02.689699,CRIT,Sin sustitutos disponibles para item 8410,8410,
2025-09-19 15:42:02.689700,CRIT,Sin sustitutos disponibles para item 8413,8413,
2025-09-19 15:42:02.689701,CRIT,Sin sustitutos disponibles para item 8414,8414,
2025-09-19 15:42:02.689702,CRIT,Sin sustitutos disponibles para item 8417,8417,
2025-09-19 15:42:02.689702,CRIT,Sin sustitutos disponibles para item 8418,8418,
2025-09-19 15:42:02.689704,CRIT,Sin sustitutos disponibles para item 8422,8422,
2025-09-19 15:42:02.689711,CRIT,Sin sustitutos disponibles para item 8429,8429,
2025-09-19 15:42:02.689713,CRIT,Sin sustitutos disponibles para item 8437,8437,
