order_id,item_id,motivo,qty_sugerida,precio,importe,supplier_name,Product_ID,Nombre,Cantidad_pedir
PO_NA_20250921_122918,1141.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1147.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1150.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1152.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1155.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1157.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1159.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1162.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1163.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1169.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1170.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1174.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1176.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1177.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1181.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1183.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1184.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1185.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1187.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1188.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1194.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1197.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1199.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1201.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1204.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1206.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1207.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1210.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1215.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1221.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1222.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1225.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1229.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1385.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1389.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1390.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1392.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1395.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1403.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1404.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1410.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1411.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1412.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1413.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1416.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1418.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1419.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1420.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1421.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1422.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1427.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1428.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1429.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1434.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1436.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1437.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1438.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1439.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1440.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1444.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1445.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1446.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1447.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1449.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1453.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1456.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1457.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1459.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1461.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1469.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1474.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1476.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1477.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1478.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1479.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1481.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1482.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1483.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1484.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1485.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1486.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1488.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1490.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1492.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1493.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1503.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1507.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1508.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1513.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1523.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1526.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1527.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1528.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1529.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1531.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1533.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1534.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1535.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1536.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1537.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1539.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1541.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1542.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1543.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1544.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1545.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1547.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1550.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1553.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1556.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1558.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1560.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1564.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1566.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1569.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1571.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1574.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1576.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1577.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1578.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1581.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1584.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1585.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1587.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1588.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1589.0,rotura,0.0,,,,,,
PO_NA_20250921_122918,1593.0,rotura,0.0,,,,,,
