Product_ID,supplier_id,precio,disponibilidad,lead_time,prioridad,lead_time_bucket
1000,226ERS SPORTS THINGS SL,70.51,145.0,7,1,5-7
1001,226ERS SPORTS THINGS SL,68.49333333333334,156.0,7,1,5-7
1003,226ERS SPORTS THINGS SL,64.57,94.0,7,1,5-7
1007,226ERS SPORTS THINGS SL,19.66,631.0,7,1,5-7
1008,226ERS SPORTS THINGS SL,29.53,55.0,7,1,5-7
1013,226ERS SPORTS THINGS SL,52.645,41.0,7,1,5-7
1014,226ERS SPORTS THINGS SL,73.35,30.0,7,1,5-7
1019,226ERS SPORTS THINGS SL,15.845,26.0,7,1,5-7
1024,226ERS SPORTS THINGS SL,42.44,398.0,7,1,5-7
1030,226ERS SPORTS THINGS SL,37.52,482.0,7,1,5-7
1035,226ERS SPORTS THINGS SL,62.4175,222.0,7,1,5-7
1043,226ERS SPORTS THINGS SL,46.64,256.0,7,1,5-7
1049,226ERS SPORTS THINGS SL,36.26333333333333,13.0,7,1,5-7
1051,226ERS SPORTS THINGS SL,86.76,11.0,7,1,5-7
1053,226ERS SPORTS THINGS SL,68.86,216.0,7,1,5-7
1055,226ERS SPORTS THINGS SL,90.77,13.0,7,1,5-7
1056,226ERS SPORTS THINGS SL,35.71,35.0,7,1,5-7
1057,226ERS SPORTS THINGS SL,79.47,20.0,7,1,5-7
1059,226ERS SPORTS THINGS SL,41.335,33.0,7,1,5-7
1062,226ERS SPORTS THINGS SL,42.69,16.0,7,1,5-7
1063,226ERS SPORTS THINGS SL,24.85,192.0,7,1,5-7
1067,226ERS SPORTS THINGS SL,59.370000000000005,31.0,7,1,5-7
1075,226ERS SPORTS THINGS SL,41.35,128.0,7,1,5-7
1076,226ERS SPORTS THINGS SL,46.4025,125.0,7,1,5-7
1080,226ERS SPORTS THINGS SL,36.015,11.0,7,1,5-7
1084,226ERS SPORTS THINGS SL,50.43,143.0,7,1,5-7
1086,226ERS SPORTS THINGS SL,58.66,112.0,7,1,5-7
1087,226ERS SPORTS THINGS SL,25.75,128.0,7,1,5-7
1089,226ERS SPORTS THINGS SL,28.985,107.0,7,1,5-7
1090,226ERS SPORTS THINGS SL,40.038,6.0,7,1,5-7
1092,226ERS SPORTS THINGS SL,43.083333333333336,119.0,7,1,5-7
1095,226ERS SPORTS THINGS SL,38.120000000000005,96.0,7,1,5-7
1096,226ERS SPORTS THINGS SL,65.34,10.0,7,1,5-7
